,gini,mpr,tau,theil,nump,entropy,hhi,nc
2022-08-04,0.923915770936057,0.08019034191046881,104,2.462352181708402,563,7.797410809984474,124.75882358714915,50
2022-08-05,0.9233533337242205,0.08936331003211789,107,2.4857250011201373,548,7.763690959327525,139.58491852236898,50
2022-08-06,0.9204255011264039,0.07845493562231759,110,2.4042885170251744,576,7.881178971078702,115.74587853893034,53
2022-08-07,0.9204226971308115,0.07647371216144451,109,2.4190067162831816,588,7.85994509799842,118.13876889183805,52
2022-08-08,0.9239989865543251,0.08265916285613788,105,2.485109570008551,552,7.764578838740194,132.77330241607623,50
2022-08-09,0.923229711548581,0.0825909428359317,108,2.457501098447599,548,7.804409443747681,127.54773041800381,52
2022-08-10,0.9244639728864005,0.08500800284545616,102,2.474579910464837,561,7.779769926346157,130.90749297657663,49
2022-08-11,0.9256262972536414,0.07779549884813043,104,2.4714808710389295,531,7.7842408951574535,120.30512147098189,49
2022-08-12,0.922420084316076,0.07813063875857092,107,2.4405822402607082,564,7.828818196551498,121.2095007306817,51
2022-08-13,0.9226263590093418,0.08938649189878027,107,2.4657120297408905,561,7.792563573889823,136.7548238164466,50
2022-08-14,0.9230286068864209,0.07803892765332354,106,2.4447895931359196,558,7.822748269423117,120.33413493601755,51
2022-08-15,0.9246291528748314,0.08367046708348658,104,2.4826604346702403,557,7.768112194147273,131.5494563003919,48
2022-08-16,0.9253203846172068,0.07913796149090267,104,2.4917219830919297,546,7.755039143176477,127.25122641267143,47
2022-08-17,0.9247316463277884,0.08307045215562565,104,2.476598680765876,558,7.776857456444234,128.74082772280607,49
2022-08-18,0.9195936124823307,0.07583927639589494,109,2.3986743998499773,590,7.889278430086379,114.53299099776169,52
2022-08-19,0.9213491704035569,0.08093716719914804,109,2.435340067718152,568,7.836381052882068,124.00307025817781,51
2022-08-20,0.9227940489344042,0.0824964131994261,104,2.470219120415679,576,7.786061216524478,132.66080393734956,49
2022-08-21,0.9244575113653568,0.08134567461730154,106,2.469582973813552,550,7.786978982072654,126.30535451514281,49
2022-08-22,0.9229404784967067,0.08532303370786516,106,2.4638573629288922,552,7.795239292502004,131.91175948428233,50
2022-08-23,0.920843616630548,0.08454191722674213,108,2.433248681444848,578,7.839398285487133,127.65941739472385,51
2022-08-24,0.9223154982242735,0.08287292817679558,107,2.441641689529882,568,7.827289734344734,125.84091748135462,52
2022-08-25,0.9212461229702609,0.08683473389355742,107,2.4423697706011693,577,7.826239335393846,131.43737887311732,50
2022-08-26,0.9229125641010104,0.07924793533649623,107,2.452443584334736,560,7.811705894277513,123.76788426367627,51
2022-08-27,0.9220917617654733,0.07903225806451612,106,2.425001873790479,570,7.851295913993237,118.55577394946069,53
2022-08-28,0.9226115135035413,0.08670621074668527,110,2.460632249267937,561,7.79989214798699,132.9712503938417,51
2022-08-29,0.919449226884418,0.08862339514978602,110,2.433518591937908,593,7.839008886957295,135.07552894682777,52
2022-08-30,0.9219080646213795,0.0808133472367049,105,2.435239739840748,571,7.836525795413275,123.16589484107283,51
2022-08-31,0.9198940440828275,0.08900983146067416,112,2.420533623812571,565,7.857742236077883,131.4247727559653,55
2022-09-01,0.9228534179365823,0.0783710407239819,108,2.4548519178729835,553,7.808231403425158,124.37583178067551,50
2022-09-02,0.9212064195696607,0.08705633056683737,108,2.4519414438655747,580,7.812430329842271,134.54156493341029,50
2022-09-03,0.9207580245090398,0.07744468236973591,109,2.421872211376035,585,7.855811062438312,119.20592051868769,52
2022-09-04,0.9260542972622589,0.07446808510638298,99,2.4582194919117257,549,7.803373021059593,113.45543182769924,49
2022-09-05,0.920806179794603,0.08096947935368043,109,2.427019201622696,571,7.848385525133892,123.74641014153192,53
2022-09-06,0.9190847417781248,0.08619430241051863,111,2.413769003517733,579,7.867501520230722,128.2347140933996,54
2022-09-07,0.9193151022419315,0.07624083233839331,111,2.394530042293234,586,7.895257474181149,114.76586213568454,54
2022-09-08,0.9207006990224862,0.07952769578051745,109,2.4212570354048113,581,7.856698573761262,120.50353492171774,52
2022-09-09,0.9178614858515158,0.07956318252730109,113,2.3812057442927865,587,7.914480372829709,117.32242560633239,56
2022-09-10,0.924505996569473,0.07869790735109998,102,2.4616175474800324,561,7.798470663142548,121.9378654294701,49
2022-09-11,0.922819063515547,0.07829116244957829,107,2.442716407069738,549,7.825739244679614,119.90338503352797,51
2022-09-12,0.9230698484328248,0.07841394025604552,106,2.4426378268187405,566,7.825852612018047,119.81203802439884,50
2022-09-13,0.9234062825545839,0.08793527963418923,102,2.4744575174429735,574,7.779946502151835,135.71293272787082,47
2022-09-14,0.9206244277921154,0.08025247971145176,107,2.4190874354125276,571,7.859828644910763,120.96357289851616,52
2022-09-15,0.9232215663939802,0.08234234234234235,105,2.469683456153259,566,7.786834016699404,130.37902767632536,48
2022-09-16,0.9211354584099685,0.080713528788414,109,2.423757258535412,571,7.853091514249579,121.15323596638667,51
2022-09-17,0.9220940129371139,0.08392101551480959,105,2.4573250972712817,587,7.804663359772014,130.6612692741517,48
2022-09-18,0.9224335216388018,0.07830255681818182,104,2.4352630232908545,567,7.836492204495271,119.34958213617027,51
2022-09-19,0.9200614273249985,0.08221357850070721,114,2.4214224980193437,564,7.856459861667761,123.77613039137822,52
2022-09-20,0.9210163618671043,0.09039865244244806,109,2.4558018127765653,567,7.806860994758372,138.3662101211904,51
2022-09-21,0.9178655161275951,0.08230377906976744,115,2.3969857009388345,581,7.8917147076310465,123.92480415934197,56
2022-09-22,0.9215317674016537,0.08420295070169126,109,2.438258029900921,570,7.832171323311533,128.2377819250713,53
2022-09-23,0.9227139027275786,0.08410056657223797,106,2.4491017694112287,556,7.816527114095359,127.17091562407211,51
2022-09-24,0.9222003994397898,0.07714491708723864,106,2.443413277661895,561,7.824733872932194,120.50498266683769,49
2022-09-25,0.9220325772043607,0.08097239992688722,107,2.4445872844000087,555,7.823040139233122,124.75644247876363,50
2022-09-26,0.9227140119921363,0.08657148020965118,108,2.452398087718227,568,7.811771532020567,130.2253351389947,50
2022-09-27,0.9245295089458329,0.09064220183486238,103,2.48172185198143,553,7.769466282737829,137.80994865752058,49
2022-09-28,0.9229986006592243,0.0750563355867568,104,2.439605347507756,567,7.8302275548815885,116.0484392450175,49
2022-09-29,0.9218793638948485,0.08169522091974753,109,2.4403804770819524,566,7.82910927928883,124.57823155248347,51
2022-09-30,0.9238300139751691,0.0874977769873733,103,2.4822906411691554,563,7.768645693397407,135.64464867608058,47
2022-10-01,0.9226083619640363,0.07511737089201878,104,2.435118933199687,569,7.836700082555226,115.03990702546028,48
2022-10-02,0.9223885132933384,0.07878245299910475,107,2.432286145814984,568,7.8407869308670435,119.30953947658402,52
2022-10-03,0.9226658240557217,0.07800785433773652,108,2.4293412713250557,553,7.845035486689688,116.99486119673959,54
2022-10-04,0.9196596937907805,0.08318296643810899,111,2.4177180630373543,578,7.861804231645639,125.02993771782539,53
2022-10-05,0.9251778673975192,0.08322756119673617,101,2.4953207799468733,554,7.749847176800737,132.8081577565182,46
2022-10-06,0.9220576550593093,0.08118081180811808,107,2.4286843511627305,566,7.845983222150145,121.26809275472779,52
2022-10-07,0.9202313313903352,0.08012820512820513,111,2.4149295891566305,563,7.865827149084936,119.57910751536073,51
